name,id,dv,type,path,img
皮革帽子,minecraft:leather_helmet,0,装备,todo,todo1
锁链头盔,minecraft:chainmail_helmet,0,装备,todo,todo1
铁头盔,minecraft:iron_helmet,0,装备,todo,todo1
金头盔,minecraft:golden_helmet,0,装备,todo,todo1
钻石头盔,minecraft:diamond_helmet,0,装备,todo,todo1
下界合金头盔,minecraft:netherite_helmet,0,装备,todo,todo1
皮革胸甲,minecraft:leather_chestplate,0,装备,todo,todo1
锁链胸甲,minecraft:chainmail_chestplate,0,装备,todo,todo1
铁胸甲,minecraft:iron_chestplate,0,装备,todo,todo1
金胸甲,minecraft:golden_chestplate,0,装备,todo,todo1
钻石胸甲,minecraft:diamond_chestplate,0,装备,todo,todo1
下界合金胸甲,minecraft:netherite_chestplate,0,装备,todo,todo1
皮革裤子,minecraft:leather_leggings,0,装备,todo,todo1
锁链护腿,minecraft:chainmail_leggings,0,装备,todo,todo1
铁护腿,minecraft:iron_leggings,0,装备,todo,todo1
金护腿,minecraft:golden_leggings,0,装备,todo,todo1
钻石护腿,minecraft:diamond_leggings,0,装备,todo,todo1
下界合金护腿,minecraft:netherite_leggings,0,装备,todo,todo1
皮革靴子,minecraft:leather_boots,0,装备,todo,todo1
锁链靴子,minecraft:chainmail_boots,0,装备,todo,todo1
铁靴子,minecraft:iron_boots,0,装备,todo,todo1
金靴子,minecraft:golden_boots,0,装备,todo,todo1
钻石靴子,minecraft:diamond_boots,0,装备,todo,todo1
下界合金靴子,minecraft:netherite_boots,0,装备,todo,todo1
木剑,minecraft:wooden_sword,0,装备,todo,todo1
石剑,minecraft:stone_sword,0,装备,todo,todo1
铁剑,minecraft:iron_sword,0,装备,todo,todo1
金剑,minecraft:golden_sword,0,装备,todo,todo1
钻石剑,minecraft:diamond_sword,0,装备,todo,todo1
下界合金剑,minecraft:netherite_sword,0,装备,todo,todo1
木斧,minecraft:wooden_axe,0,装备,todo,todo1
石斧,minecraft:stone_axe,0,装备,todo,todo1
铁斧,minecraft:iron_axe,0,装备,todo,todo1
金斧,minecraft:golden_axe,0,装备,todo,todo1
钻石斧,minecraft:diamond_axe,0,装备,todo,todo1
下界合金斧头,minecraft:netherite_axe,0,装备,todo,todo1
木镐,minecraft:wooden_pickaxe,0,装备,todo,todo1
石镐,minecraft:stone_pickaxe,0,装备,todo,todo1
铁镐,minecraft:iron_pickaxe,0,装备,todo,todo1
金镐,minecraft:golden_pickaxe,0,装备,todo,todo1
钻石镐,minecraft:diamond_pickaxe,0,装备,todo,todo1
下界合金镐,minecraft:netherite_pickaxe,0,装备,todo,todo1
木锹,minecraft:wooden_shovel,0,装备,todo,todo1
石锹,minecraft:stone_shovel,0,装备,todo,todo1
铁锹,minecraft:iron_shovel,0,装备,todo,todo1
金锹,minecraft:golden_shovel,0,装备,todo,todo1
钻石锹,minecraft:diamond_shovel,0,装备,todo,todo1
下界合金锹,minecraft:netherite_shovel,0,装备,todo,todo1
木锄,minecraft:wooden_hoe,0,装备,todo,todo1
石锄,minecraft:stone_hoe,0,装备,todo,todo1
铁锄,minecraft:iron_hoe,0,装备,todo,todo1
金锄,minecraft:golden_hoe,0,装备,todo,todo1
钻石锄,minecraft:diamond_hoe,0,装备,todo,todo1
下界合金锄头,minecraft:netherite_hoe,0,装备,todo,todo1
弓,minecraft:bow,0,装备,todo,todo1
弩,minecraft:crossbow,0,装备,todo,todo1
箭,minecraft:arrow,0,装备,todo,todo1
夜视箭,minecraft:arrow,6,装备,todo,todo1
夜视箭,minecraft:arrow,7,装备,todo,todo1
隐身箭,minecraft:arrow,8,装备,todo,todo1
隐身箭,minecraft:arrow,9,装备,todo,todo1
跳跃箭,minecraft:arrow,10,装备,todo,todo1
跳跃箭,minecraft:arrow,11,装备,todo,todo1
跳跃箭,minecraft:arrow,12,装备,todo,todo1
抗火箭,minecraft:arrow,13,装备,todo,todo1
抗火箭,minecraft:arrow,14,装备,todo,todo1
迅捷之箭,minecraft:arrow,15,装备,todo,todo1
迅捷之箭,minecraft:arrow,16,装备,todo,todo1
迅捷之箭,minecraft:arrow,17,装备,todo,todo1
缓慢之箭,minecraft:arrow,18,装备,todo,todo1
缓慢之箭,minecraft:arrow,19,装备,todo,todo1
水肺之箭,minecraft:arrow,20,装备,todo,todo1
水肺之箭,minecraft:arrow,21,装备,todo,todo1
治疗之箭,minecraft:arrow,22,装备,todo,todo1
治疗之箭,minecraft:arrow,23,装备,todo,todo1
伤害之箭,minecraft:arrow,24,装备,todo,todo1
伤害之箭,minecraft:arrow,25,装备,todo,todo1
剧毒箭,minecraft:arrow,26,装备,todo,todo1
剧毒箭,minecraft:arrow,27,装备,todo,todo1
剧毒箭,minecraft:arrow,28,装备,todo,todo1
再生之箭,minecraft:arrow,29,装备,todo,todo1
再生之箭,minecraft:arrow,30,装备,todo,todo1
再生之箭,minecraft:arrow,31,装备,todo,todo1
力量之箭,minecraft:arrow,32,装备,todo,todo1
力量之箭,minecraft:arrow,33,装备,todo,todo1
力量之箭,minecraft:arrow,34,装备,todo,todo1
