name,id,dv,type,path,img
橡木板,minecraft:planks,0,建筑,todo,todo1
云杉木板,minecraft:planks,1,建筑,todo,todo1
白桦木板,minecraft:planks,2,建筑,todo,todo1
丛林木板,minecraft:planks,3,建筑,todo,todo1
金合欢木板,minecraft:planks,4,建筑,todo,todo1
深色橡木木板,minecraft:planks,5,建筑,todo,todo1
红树林木板,minecraft:mangrove_planks,0,建筑,todo,todo1
绯红木板,minecraft:crimson_planks,0,建筑,todo,todo1
诡异木板,minecraft:warped_planks,0,建筑,todo,todo1
圆石墙,minecraft:cobblestone_wall,0,建筑,todo,todo1
苔藓圆石墙,minecraft:cobblestone_wall,1,建筑,todo,todo1
花岗岩墙,minecraft:cobblestone_wall,2,建筑,todo,todo1
闪长岩墙,minecraft:cobblestone_wall,3,建筑,todo,todo1
安山岩墙,minecraft:cobblestone_wall,4,建筑,todo,todo1
砂岩墙,minecraft:cobblestone_wall,5,建筑,todo,todo1
红砂岩墙,minecraft:cobblestone_wall,12,建筑,todo,todo1
石砖墙,minecraft:cobblestone_wall,7,建筑,todo,todo1
苔石砖墙,minecraft:cobblestone_wall,8,建筑,todo,todo1
砖墙,minecraft:cobblestone_wall,6,建筑,todo,todo1
下届砖墙,minecraft:cobblestone_wall,9,建筑,todo,todo1
红色下届砖墙,minecraft:cobblestone_wall,13,建筑,todo,todo1
末地石砖墙,minecraft:cobblestone_wall,10,建筑,todo,todo1
海晶石墙,minecraft:cobblestone_wall,11,建筑,todo,todo1
黑石墙,minecraft:blackstone_wall,0,建筑,todo,todo1
磨制黑色墙,minecraft:polished_blackstone_wall,0,建筑,todo,todo1
磨制黑石砖墙,minecraft:polished_blackstone_brick_wall,0,建筑,todo,todo1
深板岩圆石墙,minecraft:cobbled_deepslate_wall,0,建筑,todo,todo1
深板岩瓦墙,minecraft:deepslate_tile_wall,0,建筑,todo,todo1
磨制深板岩墙,minecraft:polished_deepslate_wall,0,建筑,todo,todo1
深板岩砖墙,minecraft:deepslate_brick_wall,0,建筑,todo,todo1
泥砖墙,minecraft:mud_brick_wall,0,建筑,todo,todo1
橡木栅栏,minecraft:fence,0,建筑,todo,todo1
云杉栅栏,minecraft:fence,1,建筑,todo,todo1
白桦木栅栏,minecraft:fence,2,建筑,todo,todo1
丛林木栅栏,minecraft:fence,3,建筑,todo,todo1
金合欢栅栏,minecraft:fence,4,建筑,todo,todo1
深色橡木栅栏,minecraft:fence,5,建筑,todo,todo1
红树林栅栏,minecraft:mangrove_fence,0,建筑,todo,todo1
下届砖栅栏,minecraft:nether_brick_fence,0,建筑,todo,todo1
绯红栅栏,minecraft:crimson_fence,0,建筑,todo,todo1
诡异木栅栏,minecraft:warped_fence,0,建筑,todo,todo1
橡木栅栏门,minecraft:fence_gate,0,建筑,todo,todo1
云杉栅栏门,minecraft:spruce_fence_gate,0,建筑,todo,todo1
白桦木栅栏门,minecraft:birch_fence_gate,0,建筑,todo,todo1
丛林木栅栏门,minecraft:jungle_fence_gate,0,建筑,todo,todo1
金合欢栅栏门,minecraft:acacia_fence_gate,0,建筑,todo,todo1
深色橡木栅栏门,minecraft:dark_oak_fence_gate,0,建筑,todo,todo1
红树林栅栏门,minecraft:mangrove_fence_gate,0,建筑,todo,todo1
绯红栅栏门,minecraft:crimson_fence_gate,0,建筑,todo,todo1
诡异木栅栏门,minecraft:warped_fence_gate,0,建筑,todo,todo1
石质楼梯,minecraft:normal_stone_stairs,0,建筑,todo,todo1
圆石楼梯,minecraft:stone_stairs,0,建筑,todo,todo1
苔石楼梯,minecraft:mossy_cobblestone_stairs,0,建筑,todo,todo1
橡木楼梯,minecraft:oak_stairs,0,建筑,todo,todo1
云杉木楼梯,minecraft:spruce_stairs,0,建筑,todo,todo1
白桦木楼梯,minecraft:birch_stairs,0,建筑,todo,todo1
